CODE,DESCRIPTION,MAJOR_CATEGORY,MINOR_CATEGORY
PI135,Claim denied. Interim bills cannot be processed.,Provider Billing Error,Provider Billing Error/Other
PI136,Claim adjusted based on failure to follow prior payer's coverage rules. (Use Group Code OA).,Coverage/Eligibility,Coverage/Eligibility
PI137,"Payment/Reduction for Regulatory Surcharges, Assessments, Allowances or Health Related Taxes.",Contractual/Payment,Contractual/Payment/Other
PI138,Claim/service denied. Appeal procedures not followed or time limits not met.,Appeals/Timely Filing,Appeals/Timely Filing
PI139,Contracted funding agreement - Subscriber is employed by the provider of services.,Contractual/Payment,Contractual/Payment/Other
PI14,The date of birth follows the date of service.,Provider Billing Error,Provider Billing Error/Other
PI140,Patient/Insured health identification number and name do not match.,Provider Billing Error,Provider Billing Error/Other
PI141,Claim adjustment because the claim spans eligible and ineligible periods of coverage.,Coverage/Eligibility,Coverage/Eligibility
PI142,Claim adjusted by the monthly Medicaid patient liability amount.,Contractual/Payment,Contractual/Payment/Other
PI143,Portion of payment deferred.,Contractual/Payment,Contractual/Payment/Other
PI144,"Incentive adjustment, e.g. preferred product/service.",Contractual/Payment,Contractual/Payment/Other
PI145,Premium payment withholding,Contractual/Payment,Contractual/Payment/Other
PI146,Diagnosis was invalid for the date(s) of service reported,Provider Billing Error,Provider Billing Error/Diagnosis
PI147,Provider contracted/negotiated rate expired on the date of service,Appeals/Timely Filing,Appeals/Timely Filing
PI148,Information from another provider was not provided,Documentation/Attachments,Documentation/Attachments
PI149,Lifetime benefit maximum has been reached for this service/benefit category.,Benefit Limits,Benefit Limits
PI15,"The authorization number is missing, invalid, or does not apply",Authorization/Precert,Authorization/Precert
PI150,Payment adjusted because the payer deems the information submitted does not support this level of service.,Medical Necessity/Review,Medical Necessity/Review
PI151,Payment adjusted because the payer deems the information submitted does not support this many services.,Medical Necessity/Review,Medical Necessity/Review
PI152,Payment adjusted because the payer deems the information submitted does not support this length of service.,Medical Necessity/Review,Medical Necessity/Review
PI153,Payment adjusted because the payer deems the information submitted does not support this dosage.,Medical Necessity/Review,Medical Necessity/Review
PI154,Payment adjusted because the payer deems the information submitted does not support this day's supply.,Documentation/Attachments,Documentation/Attachments
PI155,This claim is denied because the patient refused the service/procedure.,Medical Necessity/Review,Medical Necessity/Review
PI156,Flexible spending account payments,Pending/Processing,Pending/Review
PI157,Payment denied/reduced because service/procedure was provided as a result of an act of war.,Coverage/Eligibility,Coverage/Eligibility
PI158,Payment denied/reduced because the service/procedure was provided outside of the United States.,Coverage/Eligibility,Coverage/Eligibility
PI159,Payment denied/reduced because the service/procedure was provided as a result of terrorism.,Coverage/Eligibility,Coverage/Eligibility
PI16,Claim/service lacks information which is needed for adjudication. Additional information is supplied using remittance advice remarks codes whenever appropriate. This change to be effective 4/1/2007: At least one Remark Code must be provided.,Provider Billing Error,Provider Billing Error/Other
PI160,Payment denied/reduced because injury/illness was the result of an activity that is a benefit exclusion.,Coverage/Eligibility,Coverage/Eligibility
PI161,Provider performance bonus,Contractual/Payment,Contractual/Payment/Other
PI162,"State-mandated Requirement for Property and Casualty, see Claim Payment Remarks Code for specific explanation.",Regulatory/Sequestration,Regulatory/Sequestration
PI163,Claim/Service adjusted because the attachment referenced on the claim was not received.,Documentation/Attachments,Documentation/Attachments
PI164,Claim/Service adjusted because the attachment referenced on the claim was not received in a timely fashion.,Documentation/Attachments,Documentation/Attachments
PI165,"Payment denied /reduced for absence of, or exceeded referral",Documentation/Attachments,Documentation/Attachments
PI166,These services were submitted after this payers responsibility for processing claims under this plan ended.,Documentation/Attachments,Documentation/Attachments
PI167,This (these) diagnosis(es) is (are) not covered.,Provider Billing Error,Provider Billing Error/Diagnosis
PI168,Payment denied as Service(s) have been considered under the patient's medical plan. Benefits are not available under this dental plan,Patient Responsibility,Patient Responsibility/Deductible
PI169,Alternate benefit has been provided,Contractual/Payment,Contractual/Payment/Other
PI17,Payment adjusted because requested information was not provided or was insufficient/incomplete. Additional information is supplied using the remittance advice remarks codes whenever appropriate. At least one Remark Code must be provided.,Documentation/Attachments,Documentation/Attachments
PI170,Payment is denied when performed/billed by this type of provider.,Coverage/Eligibility,Coverage/Eligibility
PI171,Payment is denied when performed/billed by this type of provider in this type of facility.,Network/Provider Contract,Network/Provider Credential
PI172,Payment is adjusted when performed/billed by a provider of this specialty,Provider Billing Error,Provider Billing Error/Other
PI173,Payment adjusted because this service was not prescribed by a physician,Coverage/Eligibility,Coverage/Eligibility
PI174,Payment denied because this service was not prescribed prior to delivery,Coverage/Eligibility,Coverage/Eligibility
PI175,Payment denied because the prescription is incomplete,Coverage/Eligibility,Coverage/Eligibility
PI176,Payment denied because the prescription is not current,Coverage/Eligibility,Coverage/Eligibility
PI177,Payment denied because the patient has not met the required eligibility requirements,Coverage/Eligibility,Coverage/Eligibility
PI178,Payment adjusted because the patient has not met the required spend down requirements.,Documentation/Attachments,Documentation/Attachments
PI179,Payment adjusted because the patient has not met the required waiting requirements,Medical Necessity/Review,Medical Necessity/Review
PI18,Duplicate claim/service.,Provider Billing Error,Provider Billing Error/Duplicate
PI180,Payment adjusted because the patient has not met the required residency requirements,Contractual/Payment,Contractual/UCR
PI181,Payment adjusted because this procedure code was invalid on the date of service,Provider Billing Error,Provider Billing Error/Coding
PI182,Procedure modifier was invalid on the date of service,Provider Billing Error,Provider Billing Error/Modifier
PI183,The referring provider is not eligible to refer the service billed.,Network/Provider Contract,Network/Provider Credential
PI184,The prescribing/ordering provider is not eligible to prescribe/order the service billed.,Network/Provider Contract,Network/Provider Credential
PI185,The rendering provider is not eligible to perform the service billed.,Network/Provider Contract,Network/Provider Credential
PI186,Payment adjusted since the level of care changed,Contractual/Payment,Contractual/Payment/Other
PI187,Health Savings account payments,Pending/Processing,Pending/Review
PI188,This product/procedure is only covered when used according to FDA recommendations.,Coverage/Eligibility,Coverage/Eligibility
PI189,'Not otherwise classified' or 'unlisted' procedure code (CPT/HCPCS) was billed when there is a specific procedure code for this procedure/service,Provider Billing Error,Provider Billing Error/Coding
PI19,This is a work-related injury/illness,Other Insurance,Coverage/Workers Comp
PI190,Payment is included in the allowance for a Skilled Nursing Facility (SNF) qualified stay.,Documentation/Attachments,Documentation/Attachments
PI191,Claim denied because this is not a work related injury/illness and thus not the liability of the workers' compensation carrier.,Other Insurance,COB/No Fault
PI192,Non standard adjustment code from paper remittance advice.,Contractual/Payment,Contractual/Payment/Other
PI193,Original payment decision is being maintained. This claim was processed properly the first time.,Appeals/Timely Filing,Appeals/Timely Filing
PI194,"Payment adjusted when anesthesia is performed by the operating physician, the assistant surgeon or the attending physician",Bundled/Inclusive,Bundled/Inclusive
PI195,Payment denied/reduced due to a refund issued to an erroneous priority payer for this claim/service,Refund/Recovery,Refund/Recovery
PI196,Claim/service denied based on prior payer's coverage determination.,Coverage/Eligibility,Coverage/Eligibility
PI197,Precertification/authorization/notification absent,Authorization/Precert,Authorization/Precert
PI198,"Payment denied/reduced for exceeded, precertification/authorization",Authorization/Precert,Authorization/Precert
PI199,Revenue code and Procedure code do not match.,Provider Billing Error,Provider Billing Error/Coding
PI2,Coinsurance Amount,Patient Responsibility,Patient Responsibility/Coinsurance
PI20,This injury/illness is covered by the liability carrier,Other Insurance,COB/No Fault
PI200,Expenses incurred during lapse in coverage,Coverage/Eligibility,Coverage/Eligibility
PI201,Workers Compensation case settled. Patient is responsible for amount of this claim/service through WC 'Medicare set aside arrangement' or other agreement. (Use group code PR).,Other Insurance,Coverage/Workers Comp
PI204,This service/equipment/drug is not covered,Coverage/Eligibility,Coverage/Eligibility
PI21,Claim denied because this injury/illness is the liability of the no-fault carrier.,Other Insurance,COB/No Fault
PI216,New Patient qualifications were not met,Coverage/Eligibility,Coverage/Eligibility/Other
PI22,This care may be covered by another payer,Other Insurance,Other Insurance/Other
PI226,Information requested from billing/treating provider not provided,Documentation/Attachments,Documentation/Attachments
PI23,Payment adjusted due to the impact of prior payer(s) adjudication including payments and/or adjustments,COB/Other Payer,COB/Other Payer
